,Unnamed: 0,log10Difference,log10AUCDifference,fractionTIP,patientID,VLcompartment
141,141,0.9262941287818638,0.8518660814440082,0.6,7,LRT
142,142,1.3508018133585398,2.7835710978370827,0.6,8,URT
143,143,5.641759293379133,7.609927761568461,0.6,8,LRT
144,144,1.287912044708705,1.113878324003344,0.7,0,URT
145,145,4.320221693638944,3.7177712796864615,0.7,0,LRT
146,146,4.14587469823551,3.9607131124994672,0.7,1,URT
147,147,5.440308726332629,7.1115215274902885,0.7,1,LRT
148,148,1.2282303093889657,1.1417116405679906,0.7,2,URT
149,149,1.5827107123794324,1.2935702531378528,0.7,2,LRT
150,150,3.743290266343753,5.5179600938036,0.7,3,URT
151,151,5.405556554853344,6.1612924745910735,0.7,3,LRT
152,152,1.953024147928176,1.5674652134111522,0.7,4,URT
153,153,4.8337286831773065,5.6495670683542425,0.7,4,LRT
154,154,1.3153712001136189,1.1651747764717388,0.7,5,URT
155,155,5.705776086694608,6.123445736853852,0.7,5,LRT
156,156,1.1266822550408389,1.119892108999208,0.7,6,URT
157,157,1.502395348795483,1.347721603850725,0.7,6,LRT
158,158,3.2437521489496604,5.5119721612405606,0.7,7,URT
159,159,1.2748326861789752,1.1103727413742008,0.7,7,LRT
160,160,1.3508018133585398,2.909889359108059,0.7,8,URT
161,161,5.641759293379133,6.83363372835513,0.7,8,LRT
162,162,1.639907850285656,1.3922019516214776,0.8,0,URT
163,163,6.064785060635664,6.6375036299634695,0.8,0,LRT
164,164,4.14587469823551,6.00212687526435,0.8,1,URT
165,165,5.440308726332629,7.264697553720149,0.8,1,LRT
166,166,1.4809081408964389,1.4122337017638804,0.8,2,URT
167,167,2.583753748069885,1.897059025531286,0.8,2,LRT
168,168,3.743290266343753,5.469103122951723,0.8,3,URT
169,169,5.405556554853344,7.694699644269912,0.8,3,LRT
170,170,4.183166816304883,5.538683160325028,0.8,4,URT
171,171,4.8337286831773065,7.3311515771189315,0.8,4,LRT
172,172,1.7408877213613456,1.4904107378443945,0.8,5,URT
173,173,5.705776086694608,6.749967609803544,0.8,5,LRT
174,174,1.3820316767919092,1.3626374739387341,0.8,6,URT
175,175,1.830501662087728,1.7856810755546055,0.8,6,LRT
176,176,3.2437521489496604,5.619523517802497,0.8,7,URT
177,177,1.6266098814498342,1.4318422386546992,0.8,7,LRT
178,178,1.3508018133585398,2.911470196891333,0.8,8,URT
179,179,5.641759293379133,6.958576844661742,0.8,8,LRT
180,180,2.231172254165592,1.8382146042213128,0.9,0,URT
181,181,6.064785060635664,7.6193462629844495,0.9,0,LRT
182,182,4.14587469823551,6.035097566056766,0.9,1,URT
183,183,5.440308726332629,7.139952765037616,0.9,1,LRT
184,184,2.0644457835234387,1.7563672702870539,0.9,2,URT
185,185,5.1125762450911445,5.926725977957152,0.9,2,LRT
186,186,3.743290266343753,5.309215144438891,0.9,3,URT
187,187,5.405556554853344,7.710227721507187,0.9,3,LRT
188,188,4.183166816304883,6.488524696439791,0.9,4,URT
189,189,4.8337286831773065,7.332095398517945,0.9,4,LRT
190,190,2.5625530555192406,2.2351313436341425,0.9,5,URT
191,191,5.705776086694608,7.3909232980239485,0.9,5,LRT
192,192,1.7612664072204691,1.6010710003701218,0.9,6,URT
193,193,3.8371592306580484,3.726176985735432,0.9,6,LRT
194,194,3.2437521489496604,5.650488444069112,0.9,7,URT
195,195,5.178019271758625,5.0173812224027285,0.9,7,LRT
196,196,1.3508018133585398,2.963479343962955,0.9,8,URT
197,197,5.641759293379133,7.009730255923912,0.9,8,LRT
198,198,3.9322819856642033,6.118411654733311,1.0,0,URT
199,199,6.064785060635664,8.369087776533776,1.0,0,LRT
200,200,4.14587469823551,6.048394234951383,1.0,1,URT
201,201,5.440308726332629,6.463262620811294,1.0,1,LRT
202,202,4.348478020023112,5.773856469776988,1.0,2,URT
203,203,5.1125762450911445,7.316328195228452,1.0,2,LRT
204,204,3.743290266343753,5.090416766859653,1.0,3,URT
205,205,5.405556554853344,7.011287407922064,1.0,3,LRT
206,206,4.183166816304883,6.239260715084436,1.0,4,URT
207,207,4.8337286831773065,5.9896829157886575,1.0,4,LRT
208,208,4.14356996901705,6.464927940061844,1.0,5,URT
209,209,5.705776086694608,7.42932636204553,1.0,5,LRT
210,210,2.80153707343895,2.6637965755814235,1.0,6,URT
211,211,4.8027678109576,6.8760347279929475,1.0,6,LRT
212,212,3.2437521489496604,5.187084693096237,1.0,7,URT
213,213,5.378042527868995,7.529827259215589,1.0,7,LRT
214,214,1.3508018133585398,2.5885107480997194,1.0,8,URT
215,215,5.641759293379133,7.009730600418522,1.0,8,LRT
